INFO 2025-01-20 10:18:17,627 autoreload Watching for file changes with StatReloader
DEBUG 2025-01-20 10:18:17,883 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/site-packages/django/contrib/sessions/base_session.py first seen with mtime 1728798743.0486395
DEBUG 2025-01-20 10:18:17,884 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/site-packages/django/views/defaults.py first seen with mtime 1728798743.2246406
DEBUG 2025-01-20 10:18:17,885 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/site-packages/django/contrib/admin/views/autocomplete.py first seen with mtime 1728798742.6726375
DEBUG 2025-01-20 10:18:17,885 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/site-packages/sqlparse/tokens.py first seen with mtime 1721715677.462603
DEBUG 2025-01-20 10:18:17,885 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/asyncio/runners.py first seen with mtime 1715025275.008326
DEBUG 2025-01-20 10:18:17,885 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/site-packages/django/views/csrf.py first seen with mtime 1728798743.2206404
DEBUG 2025-01-20 10:18:17,885 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/email/quoprimime.py first seen with mtime 1715025275.1163237
DEBUG 2025-01-20 10:18:17,886 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/site-packages/django/db/migrations/operations/fields.py first seen with mtime 1728798743.1686401
DEBUG 2025-01-20 10:18:17,886 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/site-packages/django/utils/deprecation.py first seen with mtime 1728798743.2166405
DEBUG 2025-01-20 10:18:17,886 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/site-packages/django/contrib/staticfiles/handlers.py first seen with mtime 1728798743.13264
DEBUG 2025-01-20 10:18:17,886 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/site-packages/django/contrib/auth/validators.py first seen with mtime 1728798742.728638
DEBUG 2025-01-20 10:18:17,887 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/site-packages/django/core/files/__init__.py first seen with mtime 1728798743.14464
DEBUG 2025-01-20 10:18:17,887 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/site-packages/django/db/models/constraints.py first seen with mtime 1728798743.1726403
DEBUG 2025-01-20 10:18:17,887 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/site-packages/django/db/models/functions/datetime.py first seen with mtime 1728798743.1766403
DEBUG 2025-01-20 10:18:17,887 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/site-packages/django/db/backends/base/introspection.py first seen with mtime 1728798743.15664
DEBUG 2025-01-20 10:18:17,887 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/site-packages/django/utils/timezone.py first seen with mtime 1728798743.2206404
DEBUG 2025-01-20 10:18:17,887 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/traceback.py first seen with mtime 1715025274.9723268
DEBUG 2025-01-20 10:18:17,887 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/site-packages/django/contrib/messages/api.py first seen with mtime 1728798742.9686391
DEBUG 2025-01-20 10:18:17,887 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/site-packages/django/core/files/uploadedfile.py first seen with mtime 1728798743.14464
DEBUG 2025-01-20 10:18:17,888 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/stat.py first seen with mtime 1715025274.956327
DEBUG 2025-01-20 10:18:17,888 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/json/encoder.py first seen with mtime 1715025275.356319
DEBUG 2025-01-20 10:18:17,888 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/copy.py first seen with mtime 1715025274.8723288
DEBUG 2025-01-20 10:18:17,888 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/site-packages/django/contrib/auth/checks.py first seen with mtime 1728798742.728638
DEBUG 2025-01-20 10:18:17,888 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/multiprocessing/process.py first seen with mtime 1715025275.452317
DEBUG 2025-01-20 10:18:17,888 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/_compression.py first seen with mtime 1715025274.8683288
DEBUG 2025-01-20 10:18:17,888 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/site-packages/django/http/request.py first seen with mtime 1728798743.1966403
DEBUG 2025-01-20 10:18:17,888 autoreload File /media/asus/Data/sellar/sellar_onboarding/sellar_onboarding/urls.py first seen with mtime 1737359917.189315
DEBUG 2025-01-20 10:18:17,889 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/site-packages/django/views/decorators/debug.py first seen with mtime 1728798743.2246406
DEBUG 2025-01-20 10:18:17,889 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/concurrent/__init__.py first seen with mtime 1715025275.0243256
DEBUG 2025-01-20 10:18:17,889 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/http/cookies.py first seen with mtime 1715025275.252321
DEBUG 2025-01-20 10:18:17,889 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/site-packages/django/core/mail/message.py first seen with mtime 1728798743.14464
DEBUG 2025-01-20 10:18:17,889 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/fnmatch.py first seen with mtime 1715025274.8843284
DEBUG 2025-01-20 10:18:17,889 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/queue.py first seen with mtime 1715025274.9363275
DEBUG 2025-01-20 10:18:17,889 autoreload File /media/asus/Data/sellar/sellar_onboarding/sellar/admin.py first seen with mtime 1737365391.568276
DEBUG 2025-01-20 10:18:17,889 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/site-packages/django/contrib/admin/templatetags/admin_urls.py first seen with mtime 1728798742.6726375
DEBUG 2025-01-20 10:18:17,890 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/site-packages/django/db/backends/sqlite3/operations.py first seen with mtime 1728798743.1646402
DEBUG 2025-01-20 10:18:17,890 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/site-packages/django/db/migrations/operations/models.py first seen with mtime 1728798743.1686401
DEBUG 2025-01-20 10:18:17,890 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/site-packages/django/db/backends/utils.py first seen with mtime 1728798743.15664
DEBUG 2025-01-20 10:18:17,890 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/asyncio/base_events.py first seen with mtime 1715025274.9923263
DEBUG 2025-01-20 10:18:17,890 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/lib-dynload/_sqlite3.cpython-310-x86_64-linux-gnu.so first seen with mtime 1715025287.1280816
DEBUG 2025-01-20 10:18:17,890 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/site-packages/django/contrib/auth/views.py first seen with mtime 1728798742.728638
DEBUG 2025-01-20 10:18:17,890 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/concurrent/futures/__init__.py first seen with mtime 1715025275.0283256
DEBUG 2025-01-20 10:18:17,890 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/selectors.py first seen with mtime 1715025274.9443274
DEBUG 2025-01-20 10:18:17,890 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/site-packages/django/db/migrations/migration.py first seen with mtime 1728798743.1686401
DEBUG 2025-01-20 10:18:17,891 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/email/headerregistry.py first seen with mtime 1715025275.108324
DEBUG 2025-01-20 10:18:17,891 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/site-packages/django/utils/translation/trans_real.py first seen with mtime 1728798743.2206404
DEBUG 2025-01-20 10:18:17,891 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/types.py first seen with mtime 1715025274.9763267
DEBUG 2025-01-20 10:18:17,891 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/lib-dynload/_bisect.cpython-310-x86_64-linux-gnu.so first seen with mtime 1715025287.948065
DEBUG 2025-01-20 10:18:17,891 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/lib-dynload/_struct.cpython-310-x86_64-linux-gnu.so first seen with mtime 1715025287.1800807
DEBUG 2025-01-20 10:18:17,891 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/site-packages/django/db/migrations/state.py first seen with mtime 1728798743.1686401
DEBUG 2025-01-20 10:18:17,891 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/pickle.py first seen with mtime 1715025274.9203277
DEBUG 2025-01-20 10:18:17,892 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/site-packages/django/views/generic/list.py first seen with mtime 1728798743.2246406
DEBUG 2025-01-20 10:18:17,892 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/site-packages/django/core/checks/security/sessions.py first seen with mtime 1728798743.14064
DEBUG 2025-01-20 10:18:17,892 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/site-packages/django/contrib/admin/templatetags/__init__.py first seen with mtime 1728798742.6726375
DEBUG 2025-01-20 10:18:17,892 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/site-packages/django/utils/regex_helper.py first seen with mtime 1728798743.2206404
